strain,host,plasmid,medium,replicate,plate,well,OD_abs,OD_culture,OD_norm,OD_norm.rel
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,3,3,E10,0.245800003,0.306600004,0.80169602,0.46207838
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,1,1,C9,0.322899997,0.288599998,1.118849618,0.644878116
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,2,1,C12,0.221300006,0.215100005,1.028823805,0.592989394
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,3,1,E10,0.493699998,0.274399996,1.79919827,1.037014781
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,3,2,A2,0.435400009,0.225099996,1.934251521,1.114856239
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,1,2,B7,0.441700011,0.236000001,1.871610207,1.078751286
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,2,2,D4,0.560100019,0.200399995,2.794910346,1.610919368
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,3,3,A2,0.397399992,0.225299999,1.763870365,1.016652623
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,2,3,E11,0.467599988,0.263999999,1.771212085,1.020884214
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,M9,2,3,H8,0.346500009,0.218799993,1.583638116,0.912771072
